"SequenceID","Kingdom","Phylum","Class","Order","Family","Genus"
"853bd2693c33f924be87a3affad3d497","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"d829bee4984f82ffc2453212157caf96","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"feb2037796c50c5fde61edb0531f3d1c","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"6472eb8b1e09f892aca2f23182962903","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"120eba657e42a11a5c29f97b90f02035","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"9b2c185dc265b2f68e0000e3c406438a","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"0fa0b493c2c5bc93e87379a327f02372","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"e8724520788bb38a7f9d22c91318f016","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter"
"b08632a5812db0ab6124122d1729086b","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"f229bc8757981ab84ae78a847d2bcabd","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"3dc11093f4068c02efd29fbdcbafdb15","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"68b36b3f69e3b7115fe4d973486f31ce","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"07b9db0375df4a5e63c8a479145d4478","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter"
"7a0fcce86bb37e2edbba5ad8ba621004","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"48fb88caf2671016c7c9f0bfca30b52e","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"9d127ac8ec1a7b03befe92229847b811","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"df71de0e92459aa808364311135bb8fc","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
